tracking_id,species,timestamp,latitude,longitude,behavior,habitat,temperature,humidity,group_size
TRK_0000,Rhino,2023-01-01 00:00:00,29.32118282483612,82.16323388062682,Resting,Wetland,22.64669319136099,70.14880706248519,5
TRK_0001,Leopard,2023-01-01 01:00:00,25.65133183589209,75.72084335998673,Resting,Mountain,32.250963153173444,50.13517595317338,4
TRK_0002,Lion,2023-01-01 02:00:00,26.966508238768924,75.71256727765258,Feeding,Forest,29.763402064208357,75.8030623664738,4
TRK_0003,Leopard,2023-01-01 03:00:00,29.224993811772958,75.12108475234888,Feeding,Mountain,34.15196928064083,62.95716544491929,1
TRK_0004,Leopard,2023-01-01 04:00:00,27.072386343133985,84.5650139829948,Moving,Grassland,27.645081499460545,54.03110492041249,5
TRK_0005,Elephant,2023-01-01 05:00:00,21.525390429142615,82.37508359459007,Social,Wetland,25.28477220127449,73.3077498539768,3
TRK_0006,Lion,2023-01-01 06:00:00,25.762883601668133,78.53251408502064,Moving,Forest,24.872987746275378,59.7362680165358,3
TRK_0007,Lion,2023-01-01 07:00:00,26.06715046382856,77.96535581287655,Social,Wetland,19.898492263692635,76.46531654833902,2
TRK_0008,Lion,2023-01-01 08:00:00,24.24130671302386,78.49703229745849,Resting,Wetland,18.692905041242994,77.12056946917524,3
TRK_0009,Leopard,2023-01-01 09:00:00,27.364442356247228,82.74653531181181,Hunting,Savanna,27.53670510946437,46.616806085136375,6
TRK_0010,Rhino,2023-01-01 10:00:00,29.343670147690148,81.61370611070414,Moving,Grassland,20.32660644758373,40.09293624527721,3
TRK_0011,Lion,2023-01-01 11:00:00,29.255685129067764,76.85195567867468,Moving,Wetland,26.05728876933618,79.3572376056961,4
TRK_0012,Leopard,2023-01-01 12:00:00,24.508393714041322,76.74109335334084,Social,Mountain,30.57733341547606,76.24550144509917,1
TRK_0013,Elephant,2023-01-01 13:00:00,21.132380458407553,75.98395649713397,Resting,Mountain,21.672730334845518,42.21780942815366,3
TRK_0014,Rhino,2023-01-01 14:00:00,29.848411989623344,81.60302719701338,Resting,Savanna,35.05240817295789,73.3213705576428,4
TRK_0015,Elephant,2023-01-01 15:00:00,28.38898086445934,82.64372662221736,Social,Grassland,20.046524395279505,58.31219730236826,5
TRK_0016,Rhino,2023-01-01 16:00:00,21.24662681203267,77.65046428325005,Resting,Grassland,29.950973782449232,50.35846420099901,7
TRK_0017,Leopard,2023-01-01 17:00:00,29.208418826173723,75.20944961030912,Feeding,Mountain,27.12378090566181,75.1498609470772,5
TRK_0018,Tiger,2023-01-01 18:00:00,28.698963620621285,75.82171667476428,Hunting,Forest,30.97047624973076,47.86668929561229,4
TRK_0019,Rhino,2023-01-01 19:00:00,25.188380571260723,84.6786003484503,Moving,Savanna,19.419011943201554,77.89199997680268,3
TRK_0020,Elephant,2023-01-01 20:00:00,25.912754357449295,77.95444777477421,Hunting,Savanna,36.53510458476806,48.22485950797365,6
TRK_0021,Leopard,2023-01-01 21:00:00,23.990027038701303,82.69223147838133,Moving,Mountain,24.10612458108547,64.54732750914974,4
TRK_0022,Rhino,2023-01-01 22:00:00,20.547616388220312,81.24663568854264,Feeding,Mountain,28.383239696496407,48.92345338115899,4
TRK_0023,Tiger,2023-01-01 23:00:00,23.35197241645901,78.81939639652896,Resting,Forest,32.222437444732506,61.82674659874539,3
TRK_0024,Tiger,2023-01-02 00:00:00,28.028534485980114,77.05687262195555,Social,Forest,21.97668966252392,67.35900519660565,4
